No	Symbol	Company Name	Market Cap	Stock Price	Industry	Sector
335	ES	Eversource Energy	24.95B	66.49	Utilities - Regulated Electric	Utilities
336	NTRS	Northern Trust Corporation	24.83B	131.31	Asset Management	Financials
337	PHM	PulteGroup, Inc.	24.79B	127.17	Residential Construction	Consumer Discretionary
338	DXCM	DexCom, Inc.	24.76B	63.48	Medical Devices	Healthcare
339	ULTA	Ulta Beauty, Inc.	24.66B	549.94	Specialty Retail	Consumer Discretionary
340	STLD	Steel Dynamics, Inc.	24.55B	168.10	Steel	Materials
341	IRM	Iron Mountain Incorporated	24.53B	83.00	REIT - Specialty	Real Estate
342	LDOS	Leidos Holdings, Inc.	24.20B	189.24	Information Technology Services	Technology
343	EQR	Equity Residential	24.11B	61.80	REIT - Residential	Real Estate
344	DG	Dollar General Corporation	24.09B	109.44	Discount Stores	Consumer Staples
345	STZ	Constellation Brands, Inc.	23.93B	137.49	Beverages - Brewers	Consumer Staples
346	DVN	Devon Energy Corporation	23.78B	37.91	Oil & Gas Exploration & Production	Energy
347	WAT	Waters Corporation	23.75B	398.89	Diagnostics & Research	Healthcare
348	CFG	Citizens Financial Group, Inc.	23.40B	54.50	Banks - Regional	Financials
349	TDY	Teledyne Technologies Incorporated	23.23B	494.77	Scientific & Technical Instruments	Technology
350	VRSN	VeriSign, Inc.	23.22B	250.47	Software - Infrastructure	Technology
351	TPR	Tapestry, Inc.	22.97B	112.23	Luxury Goods	Consumer Discretionary
352	HPQ	HP Inc.	22.87B	24.47	Computer Hardware	Technology
353	HUBB	Hubbell Incorporated	22.85B	429.92	Electrical Equipment & Parts	Industrials
354	PPG	PPG Industries, Inc.	22.51B	100.30	Specialty Chemicals	Materials
355	HAL	Halliburton Company	22.51B	26.74	Oil & Gas Equipment & Services	Energy
356	JBL	Jabil Inc.	22.48B	210.41	Electronic Components	Technology
357	CMS	CMS Energy Corporation	22.40B	73.60	Utilities - Regulated Electric	Utilities
358	EIX	Edison International	22.39B	58.19	Utilities - Regulated Electric	Utilities
359	LH	Labcorp Holdings Inc.	22.31B	269.17	Diagnostics & Research	Healthcare
360	RL	Ralph Lauren Corporation	22.26B	367.09	Apparel Manufacturing	Consumer Discretionary
361	RF	Regions Financial Corporation	22.24B	25.37	Banks - Regional	Financials
362	DLTR	Dollar Tree, Inc.	22.24B	110.20	Discount Stores	Consumer Staples
363	TROW	T. Rowe Price Group, Inc.	22.23B	101.87	Asset Management	Financials
364	NTAP	NetApp, Inc.	22.16B	111.87	Software - Infrastructure	Technology
365	L	Loews Corporation	22.09B	106.88	Insurance - Property & Casualty	Financials
366	PODD	Insulet Corporation	21.93B	311.70	Medical Devices	Healthcare
367	WSM	Williams-Sonoma, Inc.	21.79B	182.55	Specialty Retail	Consumer Discretionary
368	LULU	lululemon athletica inc.	21.75B	183.39	Apparel Retail	Consumer Discretionary
369	NVR	NVR, Inc.	21.42B	7,543.00	Residential Construction	Consumer Discretionary
370	PTC	PTC Inc.	20.94B	175.31	Software - Application	Technology
371	CPAY	Corpay, Inc.	20.77B	296.96	Software - Infrastructure	Technology
372	IP	International Paper Company	20.66B	39.13	Packaging & Containers	Consumer Discretionary
373	TSN	Tyson Foods, Inc.	20.66B	58.52	Farm Products	Consumer Staples
374	NI	NiSource Inc.	20.61B	43.19	Utilities - Regulated Gas	Utilities
375	DGX	Quest Diagnostics Incorporated	20.60B	185.22	Diagnostics & Research	Healthcare
376	CTRA	Coterra Energy Inc.	20.60B	27.06	Oil & Gas Exploration & Production	Energy
377	CHD	Church & Dwight Co., Inc.	20.34B	84.71	Household & Personal Products	Consumer Staples
378	KEY	KeyCorp	20.28B	18.56	Banks - Regional	Financials
379	DRI	Darden Restaurants, Inc.	20.28B	174.34	Restaurants	Consumer Discretionary
380	ON	ON Semiconductor Corporation	20.20B	50.20	Semiconductors	Technology
381	SBAC	SBA Communications Corporation	20.19B	189.52	REIT - Specialty	Real Estate
382	TYL	Tyler Technologies, Inc.	20.04B	465.84	Software - Application	Technology
383	INCY	Incyte Corporation	20.03B	102.05	Biotechnology	Healthcare
384	SMCI	Super Micro Computer, Inc.	19.97B	33.46	Computer Hardware	Technology
385	WST	West Pharmaceutical Services, Inc.	19.77B	274.82	Medical Instruments & Supplies	Healthcare
386	TPL	Texas Pacific Land Corporation	19.76B	859.97	Oil & Gas Exploration & Production	Energy
387	EXPD	Expeditors International of Washington, Inc.	19.68B	146.87	Integrated Freight & Logistics	Industrials
388	AMCR	Amcor plc	19.65B	8.53	Packaging & Containers	Consumer Discretionary
389	TRMB	Trimble Inc.	19.43B	81.68	Scientific & Technical Instruments	Technology
390	TTD	The Trade Desk, Inc.	19.17B	39.64	Advertising Agencies	Communication Services
391	CHRW	C.H. Robinson Worldwide, Inc.	18.97B	160.54	Integrated Freight & Logistics	Industrials
392	ZBH	Zimmer Biomet Holdings, Inc.	18.92B	95.47	Medical Devices	Healthcare
393	CNC	Centene Corporation	18.74B	38.12	Healthcare Plans	Healthcare
394	BG	Bunge Global SA	18.67B	96.56	Farm Products	Consumer Staples
395	CDW	CDW Corporation	18.65B	143.25	Information Technology Services	Technology
396	SW	Smurfit Westrock Plc	18.63B	35.77	Packaging & Containers	Consumer Discretionary
397	PFG	Principal Financial Group, Inc.	18.61B	84.71	Asset Management	Financials
398	PKG	Packaging Corporation of America	18.22B	203.86	Packaging & Containers	Consumer Discretionary
399	GPN	Global Payments Inc.	18.15B	76.65	Specialty Business Services	Industrials
400	GPC	Genuine Parts Company	18.11B	130.21	Auto Parts	Consumer Discretionary
401	LUV	Southwest Airlines Co.	17.93B	34.67	Airlines	Industrials
402	MKC	McCormick & Company, Incorporated	17.84B	66.46	Packaged Foods	Consumer Staples
403	IFF	International Flavors & Fragrances Inc.	17.76B	69.33	Specialty Chemicals	Materials
404	SNA	Snap-on Incorporated	17.64B	339.19	Tools & Accessories	Industrials
405	ESS	Essex Property Trust, Inc.	17.52B	262.86	REIT - Residential	Real Estate
406	LNT	Alliant Energy Corporation	17.40B	67.69	Utilities - Regulated Electric	Utilities
407	EVRG	Evergy, Inc.	17.39B	75.53	Utilities - Regulated Electric	Utilities
408	GDDY	GoDaddy Inc.	17.37B	128.51	Software - Infrastructure	Technology
409	PSKY	Paramount Skydance Corporation	17.34B	15.80	Entertainment	Communication Services
410	PNR	Pentair plc	17.28B	105.62	Specialty Industrial Machinery	Industrials
411	LII	Lennox International Inc.	17.28B	492.74	Building Products & Equipment	Industrials
412	INVH	Invitation Homes Inc.	17.22B	28.00	REIT - Residential	Real Estate
413	JBHT	J.B. Hunt Transport Services, Inc.	17.10B	179.58	Integrated Freight & Logistics	Industrials
414	DOW	Dow Inc.	17.00B	23.92	Chemicals	Materials
415	FTV	Fortive Corporation	16.84B	53.03	Scientific & Technical Instruments	Technology
416	DD	DuPont de Nemours, Inc.	16.78B	40.05	Specialty Chemicals	Materials
417	APTV	Aptiv PLC	16.74B	77.47	Auto Parts	Consumer Discretionary
418	IT	Gartner, Inc.	16.69B	231.54	Information Technology Services	Technology
419	HOLX	Hologic, Inc.	16.68B	74.84	Medical Instruments & Supplies	Healthcare
420	Q	Qnity Electronics, Inc.	16.40B	78.30	Semiconductor Equipment & Materials	Technology
421	MAA	Mid-America Apartment Communities, Inc.	16.29B	135.76	REIT - Residential	Real Estate
422	BBY	Best Buy Co., Inc.	16.25B	77.36	Specialty Retail	Consumer Discretionary
423	GEN	Gen Digital Inc.	16.16B	26.21	Software - Infrastructure	Technology
424	WY	Weyerhaeuser Company	16.02B	22.23	REIT - Specialty	Real Estate
425	J	Jacobs Solutions Inc.	15.91B	134.01	Engineering & Construction	Industrials
426	LYB	LyondellBasell Industries N.V.	15.50B	48.15	Specialty Chemicals	Materials
427	COO	The Cooper Companies, Inc.	15.44B	77.68	Medical Instruments & Supplies	Healthcare
428	ERIE	Erie Indemnity Company	15.39B	294.34	Insurance Brokers	Financials
429	ALB	Albemarle Corporation	15.13B	128.56	Specialty Chemicals	Materials
430	UHS	Universal Health Services, Inc.	15.12B	241.94	Medical Care Facilities	Healthcare
431	NWS	News Corporation	15.07B	29.09	Entertainment	Communication Services
432	SOLV	Solventum Corporation	14.85B	85.64	Medical Instruments & Supplies	Healthcare
433	TXT	Textron Inc.	14.52B	82.41	Aerospace & Defense	Industrials
434	NWSA	News Corporation	14.33B	25.61	Entertainment	Communication Services
435	DPZ	Domino's Pizza, Inc.	14.30B	423.33	Restaurants	Consumer Discretionary
436	ALLE	Allegion plc	14.27B	165.88	Security & Protection Services	Industrials
437	BF.B	Brown-Forman Corporation	14.10B	29.83	Beverages - Wineries & Distilleries	Consumer Staples
438	KIM	Kimco Realty Corporation	13.94B	20.54	REIT - Retail	Real Estate
439	FFIV	F5, Inc.	13.91B	239.38	Software - Infrastructure	Technology
440	OMC	Omnicom Group Inc.	13.89B	71.96	Advertising Agencies	Communication Services
441	WYNN	Wynn Resorts, Limited	13.73B	133.35	Resorts & Casinos	Consumer Discretionary
442	MAS	Masco Corporation	13.48B	64.89	Building Products & Equipment	Industrials
443	DECK	Deckers Outdoor Corporation	13.46B	92.37	Footwear & Accessories	Consumer Discretionary
444	AVY	Avery Dennison Corporation	13.38B	173.08	Packaging & Containers	Consumer Discretionary
445	NDSN	Nordson Corporation	13.25B	235.85	Specialty Industrial Machinery	Industrials
446	REG	Regency Centers Corporation	13.20B	70.89	REIT - Retail	Real Estate
447	BALL	Ball Corporation	13.16B	49.12	Packaging & Containers	Consumer Discretionary
448	UDR	UDR, Inc.	13.16B	36.31	REIT - Residential	Real Estate
449	EG	Everest Group, Ltd.	13.13B	312.85	Insurance - Reinsurance	Financials
450	IEX	IDEX Corporation	13.08B	174.71	Specialty Industrial Machinery	Industrials
451	CLX	The Clorox Company	13.00B	106.60	Household & Personal Products	Consumer Staples
452	DOC	Healthpeak Properties, Inc.	12.88B	18.19	REIT - Healthcare Facilities	Real Estate
453	HRL	Hormel Foods Corporation	12.83B	23.33	Packaged Foods	Consumer Staples
454	BXP	BXP, Inc.	12.79B	72.33	REIT - Office	Real Estate
455	ZBRA	Zebra Technologies Corporation	12.79B	252.39	Communication Equipment	Technology
456	AKAM	Akamai Technologies, Inc.	12.70B	88.25	Software - Infrastructure	Technology
457	JKHY	Jack Henry & Associates, Inc.	12.66B	174.95	Information Technology Services	Technology
458	BLDR	Builders FirstSource, Inc.	12.51B	113.13	Building Products & Equipment	Industrials
459	CF	CF Industries Holdings, Inc.	12.48B	80.04	Agricultural Inputs	Materials
460	VTRS	Viatris Inc.	12.31B	10.69	Drug Manufacturers - Specialty & Generic	Healthcare
461	HST	Host Hotels & Resorts, Inc.	12.21B	17.54	REIT - Hotel & Motel	Real Estate
462	HII	Huntington Ingalls Industries, Inc.	12.11B	308.62	Aerospace & Defense	Industrials
463	BEN	Franklin Resources, Inc.	11.75B	22.56	Asset Management	Financials
464	HAS	Hasbro, Inc.	11.67B	83.17	Leisure	Consumer Discretionary
465	RVTY	Revvity, Inc.	11.67B	102.90	Diagnostics & Research	Healthcare
466	CPT	Camden Property Trust	11.49B	106.37	REIT - Residential	Real Estate
467	AIZ	Assurant, Inc.	11.36B	226.77	Insurance - Property & Casualty	Financials
468	DAY	Dayforce Inc.	11.06B	69.11	Software - Application	Technology
469	SJM	The J. M. Smucker Company	11.04B	103.48	Packaged Foods	Consumer Staples
470	SWK	Stanley Black & Decker, Inc.	10.98B	70.91	Tools & Accessories	Industrials
471	IVZ	Invesco Ltd.	10.98B	24.67	Asset Management	Financials
472	PNW	Pinnacle West Capital Corporation	10.70B	89.41	Utilities - Regulated Electric	Utilities
473	GL	Globe Life Inc.	10.57B	132.79	Insurance - Life	Financials
474	ALGN	Align Technology, Inc.	10.55B	147.08	Medical Instruments & Supplies	Healthcare
475	EPAM	EPAM Systems, Inc.	10.54B	190.75	Information Technology Services	Technology
476	FDS	FactSet Research Systems Inc.	10.45B	279.16	Financial Data & Stock Exchanges	Financials
477	AES	The AES Corporation	9.96B	13.99	Utilities - Diversified	Utilities
478	TECH	Bio-Techne Corporation	9.95B	63.89	Biotechnology	Healthcare
479	SWKS	Skyworks Solutions, Inc.	9.81B	65.98	Semiconductors	Technology
480	BAX	Baxter International Inc.	9.75B	18.97	Medical Instruments & Supplies	Healthcare
481	MGM	MGM Resorts International	9.70B	35.47	Resorts & Casinos	Consumer Discretionary
482	MRNA	Moderna, Inc.	9.55B	24.43	Biotechnology	Healthcare
483	TAP	Molson Coors Beverage Company	9.27B	46.92	Beverages - Brewers	Consumer Staples
484	AOS	A. O. Smith Corporation	9.22B	66.20	Specialty Industrial Machinery	Industrials
485	ARE	Alexandria Real Estate Equities, Inc.	9.18B	53.13	REIT - Office	Real Estate
486	POOL	Pool Corporation	9.13B	245.17	Industrial Distribution	Industrials
487	CPB	The Campbell's Company	9.11B	30.61	Packaged Foods	Consumer Staples
488	APA	APA Corporation	8.99B	25.36	Oil & Gas Exploration & Production	Energy
489	PAYC	Paycom Software, Inc.	8.86B	161.39	Software - Application	Technology
490	GNRC	Generac Holdings Inc.	8.79B	149.73	Specialty Industrial Machinery	Industrials
491	CRL	Charles River Laboratories International, Inc.	8.75B	177.83	Diagnostics & Research	Healthcare
492	HSIC	Henry Schein, Inc.	8.65B	73.51	Medical Distribution	Healthcare
493	FRT	Federal Realty Investment Trust	8.54B	98.44	REIT - Retail	Real Estate
494	CAG	Conagra Brands, Inc.	8.48B	17.73	Packaged Foods	Consumer Staples
495	NCLH	Norwegian Cruise Line Holdings Ltd.	8.46B	18.59	Travel Services	Consumer Discretionary
496	DVA	DaVita Inc.	8.46B	119.82	Medical Care Facilities	Healthcare
497	LW	Lamb Weston Holdings, Inc.	8.35B	59.91	Packaged Foods	Consumer Staples
498	MTCH	Match Group, Inc.	7.94B	33.65	Internet Content & Information	Communication Services
499	MOS	The Mosaic Company	7.90B	24.89	Agricultural Inputs	Materials
500	LKQ	LKQ Corporation	7.55B	29.50	Auto Parts	Consumer Discretionary
501	MOH	Molina Healthcare, Inc.	7.55B	146.81	Healthcare Plans	Healthcare
502	SOLS	Solstice Advanced Materials, Inc.	7.53B	47.41	Specialty Chemicals	Materials
503	MHK	Mohawk Industries, Inc.	7.14B	115.53	Furnishings, Fixtures & Appliances	Consumer Discretionary
